L-whole/b*?/a,b*?	((a|b*?)?)*
R3+L-whole+/(?:|b)/a,(?:|b)	xy((a|(?:|b))?)+
R3+L-whole02/(?:|b)/a,(?:|b)	xy((a|(?:|b))?){0,2}
R3+L-whole/(?:|b)/(?:|b),a	xy(((?:|b)|a)?)*
R3+L-botharms/(?:|b)/(?:|b),a	xy(?:(((?:|b))|(a))?)*
R3+L-whole+/(?:|b)/(?:|b),a	xy(((?:|b)|a)?)+
R3+L-whole02/(?:|b)/(?:|b),a	xy(((?:|b)|a)?){0,2}
R3+S-whole/b*?/a,b*?	xy((a|b*?){0,2})*
R3+S-botharms/b*?/a,b*?	xy(?:((a)|(b*?)){0,2})*
R3+S-whole/b*?/b*?,a	xy((b*?|a){0,2})*
R3+S-botharms/b*?/b*?,a	xy(?:((b*?)|(a)){0,2})*
R3+S-whole/b??/a,b??	xy((a|b??){0,2})*
R3+S-botharms/b??/a,b??	xy(?:((a)|(b??)){0,2})*
R3+S-whole/b??/b??,a	xy((b??|a){0,2})*
R3+S-botharms/b??/b??,a	xy(?:((b??)|(a)){0,2})*
R3+S-whole/b{0,2}?/a,b{0,2}?	xy((a|b{0,2}?){0,2})*
R3+S-botharms/b{0,2}?/a,b{0,2}?	xy(?:((a)|(b{0,2}?)){0,2})*
R3+S-whole/b{0,2}?/b{0,2}?,a	xy((b{0,2}?|a){0,2})*
R3+S-botharms/b{0,2}?/b{0,2}?,a	xy(?:((b{0,2}?)|(a)){0,2})*
R3+S-whole/b*/a,b*	xy((a|b*){0,2})*
R3+S-botharms/b*/a,b*	xy(?:((a)|(b*)){0,2})*
R3+S-whole/b*/b*,a	xy((b*|a){0,2})*
R3+S-botharms/b*/b*,a	xy(?:((b*)|(a)){0,2})*
R3+S-whole/b?/a,b?	xy((a|b?){0,2})*
R3+S-botharms/b?/a,b?	xy(?:((a)|(b?)){0,2})*
R3+S-whole/b?/b?,a	xy((b?|a){0,2})*
R3+S-botharms/b?/b?,a	xy(?:((b?)|(a)){0,2})*
R3+S-whole/b{0,2}/a,b{0,2}	xy((a|b{0,2}){0,2})*
R3+S-botharms/b{0,2}/a,b{0,2}	xy(?:((a)|(b{0,2})){0,2})*
R3+S-whole/b{0,2}/b{0,2},a	xy((b{0,2}|a){0,2})*
R3+S-botharms/b{0,2}/b{0,2},a	xy(?:((b{0,2})|(a)){0,2})*
R3+S-whole/(?:b|)/a,(?:b|)	xy((a|(?:b|)){0,2})*
R3+S-botharms/(?:b|)/a,(?:b|)	xy(?:((a)|((?:b|))){0,2})*
R3+S-whole/(?:b|)/(?:b|),a	xy(((?:b|)|a){0,2})*
R3+S-botharms/(?:b|)/(?:b|),a	xy(?:(((?:b|))|(a)){0,2})*
R3+S-whole/(?:|b)/a,(?:|b)	xy((a|(?:|b)){0,2})*
R3+S-botharms/(?:|b)/a,(?:|b)	xy(?:((a)|((?:|b))){0,2})*
R3+S-whole/(?:|b)/(?:|b),a	xy(((?:|b)|a){0,2})*
R3+S-botharms/(?:|b)/(?:|b),a	xy(?:(((?:|b))|(a)){0,2})*
R3+W-empty-alt	xy(?:(?:(b)|)|(a))*
R3+W-concat	xy(?:(b?|a)(b?|d))*
R4+L-whole/b*?/a,b*?	(x)(y)((a|b*?)?)*
R4+L-botharms/b*?/a,b*?	(x)(y)(?:((a)|(b*?))?)*
R4+L-whole+/b*?/a,b*?	(x)(y)((a|b*?)?)+
R4+L-whole02/b*?/a,b*?	(x)(y)((a|b*?)?){0,2}
R4+L-whole/b*?/b*?,a	(x)(y)((b*?|a)?)*
R4+L-botharms/b*?/b*?,a	(x)(y)(?:((b*?)|(a))?)*
R4+L-whole+/b*?/b*?,a	(x)(y)((b*?|a)?)+
R4+L-whole02/b*?/b*?,a	(x)(y)((b*?|a)?){0,2}
R4+L-whole/b??/a,b??	(x)(y)((a|b??)?)*
R4+L-botharms/b??/a,b??	(x)(y)(?:((a)|(b??))?)*
R4+L-whole+/b??/a,b??	(x)(y)((a|b??)?)+
R4+L-whole02/b??/a,b??	(x)(y)((a|b??)?){0,2}
R4+L-whole/b??/b??,a	(x)(y)((b??|a)?)*
R4+L-botharms/b??/b??,a	(x)(y)(?:((b??)|(a))?)*
R4+L-whole+/b??/b??,a	(x)(y)((b??|a)?)+
R4+L-whole02/b??/b??,a	(x)(y)((b??|a)?){0,2}
R4+L-whole/b{0,2}?/a,b{0,2}?	(x)(y)((a|b{0,2}?)?)*
R4+L-botharms/b{0,2}?/a,b{0,2}?	(x)(y)(?:((a)|(b{0,2}?))?)*
R4+L-whole+/b{0,2}?/a,b{0,2}?	(x)(y)((a|b{0,2}?)?)+
R4+L-whole02/b{0,2}?/a,b{0,2}?	(x)(y)((a|b{0,2}?)?){0,2}
R4+L-whole/b{0,2}?/b{0,2}?,a	(x)(y)((b{0,2}?|a)?)*
R4+L-botharms/b{0,2}?/b{0,2}?,a	(x)(y)(?:((b{0,2}?)|(a))?)*
R4+L-whole+/b{0,2}?/b{0,2}?,a	(x)(y)((b{0,2}?|a)?)+
R4+L-whole02/b{0,2}?/b{0,2}?,a	(x)(y)((b{0,2}?|a)?){0,2}
R4+L-whole/b*/a,b*	(x)(y)((a|b*)?)*
R4+L-botharms/b*/a,b*	(x)(y)(?:((a)|(b*))?)*
R4+L-whole+/b*/a,b*	(x)(y)((a|b*)?)+
R4+L-whole02/b*/a,b*	(x)(y)((a|b*)?){0,2}
R4+L-whole/b*/b*,a	(x)(y)((b*|a)?)*
R4+L-botharms/b*/b*,a	(x)(y)(?:((b*)|(a))?)*
R4+L-whole+/b*/b*,a	(x)(y)((b*|a)?)+
R4+L-whole02/b*/b*,a	(x)(y)((b*|a)?){0,2}
R4+L-whole/b?/a,b?	(x)(y)((a|b?)?)*
R4+L-botharms/b?/a,b?	(x)(y)(?:((a)|(b?))?)*
R4+L-whole+/b?/a,b?	(x)(y)((a|b?)?)+
R4+L-whole02/b?/a,b?	(x)(y)((a|b?)?){0,2}
R4+L-whole/b?/b?,a	(x)(y)((b?|a)?)*
R4+L-botharms/b?/b?,a	(x)(y)(?:((b?)|(a))?)*
R4+L-whole+/b?/b?,a	(x)(y)((b?|a)?)+
R4+L-whole02/b?/b?,a	(x)(y)((b?|a)?){0,2}
R4+L-whole/b{0,2}/a,b{0,2}	(x)(y)((a|b{0,2})?)*
R4+L-botharms/b{0,2}/a,b{0,2}	(x)(y)(?:((a)|(b{0,2}))?)*
R4+L-whole+/b{0,2}/a,b{0,2}	(x)(y)((a|b{0,2})?)+
R4+L-whole02/b{0,2}/a,b{0,2}	(x)(y)((a|b{0,2})?){0,2}
R4+L-whole/b{0,2}/b{0,2},a	(x)(y)((b{0,2}|a)?)*
R4+L-botharms/b{0,2}/b{0,2},a	(x)(y)(?:((b{0,2})|(a))?)*
R4+L-whole+/b{0,2}/b{0,2},a	(x)(y)((b{0,2}|a)?)+
R4+L-whole02/b{0,2}/b{0,2},a	(x)(y)((b{0,2}|a)?){0,2}
R4+L-whole/(?:b|)/a,(?:b|)	(x)(y)((a|(?:b|))?)*
R4+L-botharms/(?:b|)/a,(?:b|)	(x)(y)(?:((a)|((?:b|)))?)*
R4+L-whole+/(?:b|)/a,(?:b|)	(x)(y)((a|(?:b|))?)+
R4+L-whole02/(?:b|)/a,(?:b|)	(x)(y)((a|(?:b|))?){0,2}
R4+L-whole/(?:b|)/(?:b|),a	(x)(y)(((?:b|)|a)?)*
R4+L-botharms/(?:b|)/(?:b|),a	(x)(y)(?:(((?:b|))|(a))?)*
R4+L-whole+/(?:b|)/(?:b|),a	(x)(y)(((?:b|)|a)?)+
R4+L-whole02/(?:b|)/(?:b|),a	(x)(y)(((?:b|)|a)?){0,2}
R4+L-whole/(?:|b)/a,(?:|b)	(x)(y)((a|(?:|b))?)*
R4+L-botharms/(?:|b)/a,(?:|b)	(x)(y)(?:((a)|((?:|b)))?)*
R4+L-whole+/(?:|b)/a,(?:|b)	(x)(y)((a|(?:|b))?)+
R4+L-whole02/(?:|b)/a,(?:|b)	(x)(y)((a|(?:|b))?){0,2}
R4+L-whole/(?:|b)/(?:|b),a	(x)(y)(((?:|b)|a)?)*
R4+L-botharms/(?:|b)/(?:|b),a	(x)(y)(?:(((?:|b))|(a))?)*
R4+L-whole+/(?:|b)/(?:|b),a	(x)(y)(((?:|b)|a)?)+
R4+L-whole02/(?:|b)/(?:|b),a	(x)(y)(((?:|b)|a)?){0,2}
R4+S-whole/b*?/a,b*?	(x)(y)((a|b*?){0,2})*
R4+S-botharms/b*?/a,b*?	(x)(y)(?:((a)|(b*?)){0,2})*
R4+S-whole/b*?/b*?,a	(x)(y)((b*?|a){0,2})*
R4+S-botharms/b*?/b*?,a	(x)(y)(?:((b*?)|(a)){0,2})*
R4+S-whole/b??/a,b??	(x)(y)((a|b??){0,2})*
R4+S-botharms/b??/a,b??	(x)(y)(?:((a)|(b??)){0,2})*
R4+S-whole/b??/b??,a	(x)(y)((b??|a){0,2})*
R4+S-botharms/b??/b??,a	(x)(y)(?:((b??)|(a)){0,2})*
R4+S-whole/b{0,2}?/a,b{0,2}?	(x)(y)((a|b{0,2}?){0,2})*
R4+S-botharms/b{0,2}?/a,b{0,2}?	(x)(y)(?:((a)|(b{0,2}?)){0,2})*
R4+S-whole/b{0,2}?/b{0,2}?,a	(x)(y)((b{0,2}?|a){0,2})*
R4+S-botharms/b{0,2}?/b{0,2}?,a	(x)(y)(?:((b{0,2}?)|(a)){0,2})*
R4+S-whole/b*/a,b*	(x)(y)((a|b*){0,2})*
R4+S-botharms/b*/a,b*	(x)(y)(?:((a)|(b*)){0,2})*
R4+S-whole/b*/b*,a	(x)(y)((b*|a){0,2})*
R4+S-botharms/b*/b*,a	(x)(y)(?:((b*)|(a)){0,2})*
R4+S-whole/b?/a,b?	(x)(y)((a|b?){0,2})*
R4+S-botharms/b?/a,b?	(x)(y)(?:((a)|(b?)){0,2})*
R4+S-whole/b?/b?,a	(x)(y)((b?|a){0,2})*
R4+S-botharms/b?/b?,a	(x)(y)(?:((b?)|(a)){0,2})*
R4+S-whole/b{0,2}/a,b{0,2}	(x)(y)((a|b{0,2}){0,2})*
R4+S-botharms/b{0,2}/a,b{0,2}	(x)(y)(?:((a)|(b{0,2})){0,2})*
R4+S-whole/b{0,2}/b{0,2},a	(x)(y)((b{0,2}|a){0,2})*
R4+S-botharms/b{0,2}/b{0,2},a	(x)(y)(?:((b{0,2})|(a)){0,2})*
R4+S-whole/(?:b|)/a,(?:b|)	(x)(y)((a|(?:b|)){0,2})*
R4+S-botharms/(?:b|)/a,(?:b|)	(x)(y)(?:((a)|((?:b|))){0,2})*
R4+S-whole/(?:b|)/(?:b|),a	(x)(y)(((?:b|)|a){0,2})*
R4+S-botharms/(?:b|)/(?:b|),a	(x)(y)(?:(((?:b|))|(a)){0,2})*
R4+S-whole/(?:|b)/a,(?:|b)	(x)(y)((a|(?:|b)){0,2})*
R4+S-botharms/(?:|b)/a,(?:|b)	(x)(y)(?:((a)|((?:|b))){0,2})*
R4+S-whole/(?:|b)/(?:|b),a	(x)(y)(((?:|b)|a){0,2})*
R4+S-botharms/(?:|b)/(?:|b),a	(x)(y)(?:(((?:|b))|(a)){0,2})*
R4+W-empty-alt	(x)(y)(?:(?:(b)|)|(a))*
R4+W-concat	(x)(y)(?:(b?|a)(b?|d))*
