# literal_census.py --freq-out -- commit 1edd6c5eb643d9b3b0c559ff686c35ecfb645493 -- generated 2026-09-17 -- rows 5149
kind	literal	count	distinct_files	sample_files
STR	"        capture_spans_out[0][0] = (ptrdiff_t)ctx->pos;\n"	1	1	src/gen/emit_dfa.c
STR	"        capture_spans_out[0][1] = (ptrdiff_t)ctx->pos + rx_len;\n"	1	1	src/gen/emit_dfa.c
STR	"        const size_t %s_call_frame = run->call_top;\n"	1	1	src/gen/emit_vm.c
STR	"        const size_t frame_index = --run->resume_depth;\n"	1	1	src/gen/emit_vm.c
STR	"        const size_t lim_ = %s_PRUNE_CLAMP_SPAN(scan_position, %s, %d);\n"	1	1	src/gen/emit_vm.c
STR	"        const void *q = memchr(subject + pos + %d, %d, n - pos - %d);\n"	1	1	src/gen/emit_dfa.c
STR	"        const void *q = memchr(subject + pos, %d, n - pos);\n"	1	1	src/gen/emit_dfa.c
STR	"        ctx.pos = attempt_position;\n"	1	1	src/gen/emit_vm.c
STR	"        do { pos--; } while (pos > 0 && (s[pos] & 0xC0) == 0x80\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        else if ($_bref_ci_fold_pairs[mid][0] > c) hi = mid;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        else if ((lead & 0xE0) == 0xC0)  want = 2;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        else if ((lead & 0xF0) == 0xE0)  want = 3;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        else if ((lead & 0xF8) == 0xF0)  want = 4;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        else return $_BACK_STEP_NONE;  /* a continuation byte, or 0xF8+ */\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        else return $_bref_ci_fold_pairs[mid][1];\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        for (int k = 0; k < %s_NCAPS; k++) {\n"	1	1	src/gen/emit_dfa.c
STR	"        fprintf(stderr, \"[%s] FAIL: resume stack empty\\n\");\n"	1	1	src/gen/emit_vm.c
STR	"        fprintf(stderr, \"[%s] call  #%%zu at scan_position %%zu"	1	1	src/gen/emit_vm.c
STR	"        fprintf(stderr, \"[%s] cut   %%zu -> %%td frame(subject)\\n\",   \\\n"	1	1	src/gen/emit_vm.c
STR	"        fprintf(stderr, \"[%s] pop   #%%zu resume L%%d at"	1	1	src/gen/emit_vm.c
STR	"        fprintf(stderr, \"[%s] push  #%%zu resume L%%d at scan_position %%zu"	1	1	src/gen/emit_vm.c
STR	"        fprintf(stderr, \"[%s] set   slot_values[%%d] %%td -> %%td\\n\",  \\\n"	1	1	src/gen/emit_vm.c
STR	"        goto "	1	1	src/gen/emit_dfa.c
STR	"        goto %s_L%d;\n"	1	1	src/gen/emit_vm.c
STR	"        goto *run->resume_stack[%s_call_frame].call_ret;\n"	1	1	src/gen/emit_vm.c
STR	"        goto *run->resume_stack[frame_index].resume_label;\n"	1	1	src/gen/emit_vm.c
STR	"        i += lx;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        if      (lead < 0x80)            want = 1;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        if (!q) return n;\n"	1	1	src/gen/emit_dfa.c
STR	"        if ("	1	1	src/gen/emit_dfa.c
STR	"        if ($_bref_ci_fold_pairs[mid][0] < c) lo = mid + 1;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        if (%s(subject, subject_length, search_from, window) != 1) return 0;\n"	1	1	src/gen/emit_vm.c
STR	"        if (%s_call_frame >= run->resume_cap) return %s_R_INTERNAL;\n"	1	1	src/gen/emit_vm.c
STR	"        if ((s[p + i] & 0xC0u) != 0x80u) return 0;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        if (__builtin_expect(last_accept_position != (size_t)-1, 0)) {\n"	1	1	src/gen/emit_dfa.c
STR	"        if (at + i >= n) return -(ptrdiff_t)i - 1;\n"	1	1	src/gen/enc/enc_byte.c
STR	"        if (attempt_position >= subject_length) return 0;\n"	1	1	src/gen/emit_vm.c
STR	"        if (cand + %d >= n) return n;\n"	1	1	src/gen/emit_dfa.c
STR	"        if (capture_spans) { capture_spans[0][0] = (ptrdiff_t)match_start_position; capture_spans[0][1] = (ptrdiff_t)match_end_position; }\n"	1	1	src/gen/emit_dfa.c
STR	"        if (lx == 0 || ly == 0 ||\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        if (match_start_position == (size_t)-1) return 0;\n"	1	1	src/gen/emit_dfa.c
STR	"        if (nw_ > 0) {                                       \\\n"	1	1	src/gen/emit_vm.c
STR	"        if (pos == 0) return $_BACK_STEP_NONE;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        if (ref_start == PCREC_UNSET) goto %s_fail;\n"	1	1	src/gen/emit_vm.c
STR	"        if (result == %s_R_FRAMES)  return PCREC_ERR_FRAMES;\n"	1	1	src/gen/emit_vm.c
STR	"        if (result == %s_R_INTERNAL) return PCREC_ERR_INTERNAL;\n"	1	1	src/gen/emit_vm.c
STR	"        if (result == %s_R_RECURSE) return PCREC_ERR_RECURSE;\n"	1	1	src/gen/emit_vm.c
STR	"        if (result == %s_R_STEPS)   return PCREC_ERR_STEPS;\n"	1	1	src/gen/emit_vm.c
STR	"        if (result == %s_R_WORK)    return PCREC_ERR_WORK;\n"	1	1	src/gen/emit_vm.c
STR	"        if (result >= 0) break;\n"	1	1	src/gen/emit_vm.c
STR	"        if (scan_position == subject_length || (scan_position + 1 == subject_length && "	1	1	src/gen/emit_dfa.c
STR	"        if (scan_position >= subject_length) goto %s_done;\n"	1	1	src/gen/emit_dfa.c
STR	"        if (start > %s && subject[start - %d] != %d) {\n"	1	1	src/gen/emit_dfa.c
STR	"        if (start > search_from && !(%s)) continue;\n"	1	1	src/gen/emit_dfa.c
STR	"        if (took < 0) goto %s_fail;\n"	1	1	src/gen/emit_vm.c
STR	"        if (want != end - pos) return $_BACK_STEP_NONE;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        if (x != y) return -(ptrdiff_t)i - 1;\n"	1	1	src/gen/enc/enc_byte.c
STR	"        if (x >= 'A' && x <= 'Z') x = (unsigned char)(x + 32);\n"	1	1	src/gen/enc/enc_byte.c
STR	"        if (y >= 'A' && y <= 'Z') y = (unsigned char)(y + 32);\n"	1	1	src/gen/enc/enc_byte.c
STR	"        j += ly;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        lead = s[pos];\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        pos = cand + 1;\n"	1	1	src/gen/emit_dfa.c
STR	"        printf(\"frames\\n\");\n"	1	1	src/gen/emit_dfa.c
STR	"        printf(\"match %%td %%td\\n\", capture_spans[0][0], capture_spans[0][1]);\n"	1	1	src/gen/emit_dfa.c
STR	"        printf(\"nomatch\\n\");\n"	1	1	src/gen/emit_dfa.c
STR	"        printf(\"steps\\n\");\n"	1	1	src/gen/emit_dfa.c
STR	"        printf(\"work\\n\");\n"	1	1	src/gen/emit_dfa.c
STR	"        ptrdiff_t nw_ = (ptrdiff_t)(n_);                     \\\n"	1	1	src/gen/emit_vm.c
STR	"        ptrdiff_t window[1][2];\n"	1	1	src/gen/emit_vm.c
STR	"        result = %s_match_anchored(&ctx, run%s%s);\n"	1	1	src/gen/emit_vm.c
STR	"        return 0;\n"	1	1	src/gen/emit_dfa.c
STR	"        run->call_top = run->resume_stack[%s_call_frame].call_top;\n"	1	1	src/gen/emit_vm.c
STR	"        run->call_top = run->resume_stack[frame_index]"	1	1	src/gen/emit_vm.c
STR	"        run->resume_stack[run->resume_depth].id = (id_);                             \\\n"	1	1	src/gen/emit_vm.c
STR	"        run->resume_stack[run->resume_depth].id = -1;                    \\\n"	1	1	src/gen/emit_vm.c
STR	"        scan_position += (size_t)took;\n"	1	1	src/gen/emit_vm.c
STR	"        scan_position = run->resume_stack[frame_index].resume_position;\n"	1	1	src/gen/emit_vm.c
STR	"        size_t cand;\n"	1	1	src/gen/emit_dfa.c
STR	"        size_t end = pos;    /* one past the character being stepped over */\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        size_t last_accept_position = (size_t)-1;\n"	1	1	src/gen/emit_dfa.c
STR	"        size_t lx = $_bref_ci_decode(s, ref_end, i, &x);\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        size_t ly = (j < n) ? $_bref_ci_decode(s, n, j, &y) : 0;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        size_t match_end_position = last_accept_position;\n"	1	1	src/gen/emit_dfa.c
STR	"        size_t match_start_position = (size_t)-1;\n"	1	1	src/gen/emit_dfa.c
STR	"        size_t mid = lo + (hi - lo) / 2;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        size_t rewind_position = match_end_position;\n"	1	1	src/gen/emit_dfa.c
STR	"        size_t scan_position = start;\n"	1	1	src/gen/emit_dfa.c
STR	"        size_t want;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        took = %s(subject, subject_length,\n"	1	1	src/gen/emit_vm.c
STR	"        unsigned char lead;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        unsigned char x, y;\n"	1	1	src/gen/enc/enc_byte.c
STR	"        unsigned x = 0, y = 0;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        v = (v << 6) | (unsigned)(s[p + i] & 0x3Fu);\n"	1	1	src/gen/enc/enc_utf8.c
STR	"        while (%s_span_cursor + %d <= %s"	1	1	src/gen/emit_vm.c
STR	"        while (%s_span_cursor + %d <= subject_length"	1	1	src/gen/emit_vm.c
STR	"        while (it_ < %dUL) {\n"	1	1	src/gen/emit_vm.c
STR	"        while (run->trail_depth > run->resume_stack[frame_index].trail_mark) {\n"	1	1	src/gen/emit_vm.c
STR	"        window_end = (size_t)window[0][1] < subject_length ? (size_t)window[0][1] : subject_length;\n"	1	1	src/gen/emit_vm.c
STR	"        window_end = subject_length;  /* cut-bearing artifact: the prefilter answers for the UNCUT language, so its span END is not a bound on this match's end */\n"	1	1	src/gen/emit_vm.c
STR	"        x = s[at + i];\n"	1	1	src/gen/enc/enc_byte.c
STR	"        y = s[ref_start + i];\n"	1	1	src/gen/enc/enc_byte.c
STR	"        }                                                    \\\n"	1	1	src/gen/emit_vm.c
STR	"        }%s"	1	1	src/gen/emit_vm.c
STR	"        }\n    }\n"	1	1	src/gen/emit_vm.c
STR	"       && (@S[@P] & 0xC0) == 0x80) @P++;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"       <PREFIX>_DFA_START. The two forms are ANSWER-IDENTICAL and\n"	1	1	src/gen/emit_dfa.c
STR	"       NEVER NULL. */\n"	1	1	src/gen/emit_dfa.c
STR	"       NULL only on a plain VM artifact. */\n"	1	1	src/gen/emit_dfa.c
STR	"       \"pinned\" (the start is search_from by compile-time proof, and\n"	1	1	src/gen/emit_dfa.c
STR	"       \"reverse-pass\" (the second, backwards scan), mirroring\n"	1	1	src/gen/emit_dfa.c
STR	"       _match this engine did not write. */\n"	1	1	src/gen/emit_dfa.c
STR	"       `name` when a source named one, the <prefix> otherwise.\n"	1	1	src/gen/emit_dfa.c
STR	"       a DFA scan, a VM HYBRID INCLUDED -- a hybrid inlines this same\n"	1	1	src/gen/emit_dfa.c
STR	"       anchored machine, run from ctx->pos) or \"search-filter\" (the\n"	1	1	src/gen/emit_dfa.c
STR	"       differ only in cost. NON-NULL on every artifact that CONTAINS\n"	1	1	src/gen/emit_dfa.c
STR	"       is \"has a DFA scan\" and not \"the DFA emitter wrote _match\".\n"	1	1	src/gen/emit_dfa.c
STR	"       mirroring <PREFIX>_DFA_MATCH. NULL on every artifact whose\n"	1	1	src/gen/emit_dfa.c
STR	"       ptrdiff_t (*capture_spans)[2]"	1	1	src/gen/emit_vm.c
STR	"       search body as its prefilter, so unlike match_form the guard\n"	1	1	src/gen/emit_dfa.c
STR	"       size_t search_from, ptrdiff_t (*capture_spans)[2], %s_run_state *run)\n"	1	1	src/gen/emit_vm.c
STR	"       the PRIMARY pattern's own, which are a PREFIX of the array;\n"	1	1	src/gen/emit_dfa.c
STR	"       the two are equal on every artifact pcrec emits today. */\n"	1	1	src/gen/emit_dfa.c
STR	"       this artifact carries no reverse machine at all) or\n"	1	1	src/gen/emit_dfa.c
STR	"       unanchored search, with non-ctx->pos starts rejected),\n"	1	1	src/gen/emit_dfa.c
STR	"     *       a position view can still select it)\n"	1	1	src/gen/emit_dfa.c
STR	"     *   %d  "	1	1	src/gen/emit_dfa.c
STR	"     *   0  every other byte\n"	1	1	src/gen/emit_dfa.c
STR	"     *  %3d  "	1	1	src/gen/emit_dfa.c
STR	"     *  %3d  (no path through the transitions above;\n"	1	1	src/gen/emit_dfa.c
STR	"     * %d rows of %d. The state numbers in the legend below are ROW\n"	1	1	src/gen/emit_dfa.c
STR	"     * %s state, so the scan's chain never un-multiplies. Each row\n"	1	1	src/gen/emit_dfa.c
STR	"     * 100 MB costs zero steps), the steps_left is subject-length-\n"	1	1	src/gen/emit_vm.c
STR	"     * A cell is the label to jump to for that class; %s_dead ends\n"	1	1	src/gen/emit_dfa.c
STR	"     * A step is one backtrack resumption (4.2), counted at exactly\n"	1	1	src/gen/emit_vm.c
STR	"     * Byte class of every possible input byte. The pattern can only\n"	1	1	src/gen/emit_dfa.c
STR	"     * Byte class of every possible input byte: all 256 values fold into\n"	1	1	src/gen/emit_dfa.c
STR	"     * Class legend (%d classes; every byte not listed is class 0):\n"	1	1	src/gen/emit_dfa.c
STR	"     * NO RESUME FRAME AT ALL (no RX_PUSH site, no linked\n"	1	1	src/gen/emit_vm.c
STR	"     * ORDER, i.e. the match read backwards:\n"	1	1	src/gen/emit_dfa.c
STR	"     * PCREC_UNSET means no \\K was crossed on this path. */\n"	1	1	src/gen/emit_vm.c
STR	"     * State legend -- %d states, %d of them accepting: too many\n"	1	1	src/gen/emit_dfa.c
STR	"     * State legend -- the bytes this walk consumes, IN WALK\n"	1	1	src/gen/emit_dfa.c
STR	"     * State legend -- the shortest input that reaches each state:\n"	1	1	src/gen/emit_dfa.c
STR	"     * The same three-table shape, built from the pattern read right to\n"	1	1	src/gen/emit_dfa.c
STR	"     * The two machines are independent and need not agree.\n"	1	1	src/gen/emit_dfa.c
STR	"     * WITHOUT its start-anywhere self-loop, so a walk that dies has\n"	1	1	src/gen/emit_dfa.c
STR	"     * add and one load. %d means the walk cannot continue and stops.\n"	1	1	src/gen/emit_dfa.c
STR	"     * and each cell already holds next_state * %d, so a step is one\n"	1	1	src/gen/emit_dfa.c
STR	"     * and the comparison is exactly right either way. */\n"	1	1	src/gen/emit_vm.c
STR	"     * backtrack resumption (4.2), counted at exactly this place\n"	1	1	src/gen/emit_vm.c
STR	"     * below-the-floor PCREC_ERR_INTERNAL -- this entry propagates\n"	1	1	src/gen/emit_vm.c
STR	"     * boundary, and it must not be traded against execution speed. */\n"	1	1	src/gen/emit_vm.c
STR	"     * candidates. The VM returns here immediately and the capture\n"	1	1	src/gen/emit_vm.c
STR	"     * cannot hold it the answer is NOMATCH before a single\n"	1	1	src/gen/emit_vm.c
STR	"     * ceiling (%s_VM_ROOT_MINW). Where the remaining subject\n"	1	1	src/gen/emit_vm.c
STR	"     * changes the answer. */\n"	1	1	src/gen/emit_dfa.c
STR	"     * confusing them loses matches (MISCOMPILE-1). The candidate\n"	1	1	src/gen/emit_dfa.c
STR	"     * contract's -- >= 0, -1, or one of the R_ sentinels, which are\n"	1	1	src/gen/emit_vm.c
STR	"     * count are ever read. */\n"	1	1	src/gen/emit_dfa.c
STR	"     * crossed a \\K (slot 0, trailed), NOT where matching began.\n"	1	1	src/gen/emit_vm.c
STR	"     * default: same capacities, budgets refilled, one\n"	1	1	src/gen/emit_vm.c
STR	"     * deterministic VM. Its answer is therefore the answer this\n"	1	1	src/gen/emit_vm.c
STR	"     * entry gave before the tier existed -- match, no-match or any\n"	1	1	src/gen/emit_vm.c
STR	"     * execution speed. */\n"	1	1	src/gen/emit_vm.c
STR	"     * few classes and the transition table needs one column per class\n"	1	1	src/gen/emit_dfa.c
STR	"     * filled by the ENTRY, not here (3.4). */\n"	1	1	src/gen/emit_vm.c
STR	"     * filter probes this before entering the transition loop;\n"	1	1	src/gen/emit_dfa.c
STR	"     * forward loop uses this to skip over bytes that cannot begin\n"	1	1	src/gen/emit_dfa.c
STR	"     * frame is pushed. Reaching the ceiling usually means the\n"	1	1	src/gen/emit_vm.c
STR	"     * give-up, FRAMES included. Every other outcome is already\n"	1	1	src/gen/emit_vm.c
STR	"     * has found one that begins there, so no backwards pass is needed.\n"	1	1	src/gen/emit_dfa.c
STR	"     * independent, and the counter measures precisely the thing it is\n"	1	1	src/gen/emit_vm.c
STR	"     * indirect jump here, and the pop-and-resume dispatch below\n"	1	1	src/gen/emit_vm.c
STR	"     * is omitted rather than emitted dead. A step is one\n"	1	1	src/gen/emit_vm.c
STR	"     * it end? Built from the same pattern as the forward scan above but\n"	1	1	src/gen/emit_dfa.c
STR	"     * it exactly like a give-up, for the same top-level-entry\n"	1	1	src/gen/emit_vm.c
STR	"     * its own start -- i.e. which bytes may sit at offset %d of a\n"	1	1	src/gen/emit_dfa.c
STR	"     * language is EMPTY (a recursion with no base case), in\n"	1	1	src/gen/emit_vm.c
STR	"     * left and walked backwards from the end the forward scan found.\n"	1	1	src/gen/emit_dfa.c
STR	"     * length-independent, and the counter measures precisely the\n"	1	1	src/gen/emit_vm.c
STR	"     * match. NOT the same question as can_begin_match, which asks\n"	1	1	src/gen/emit_dfa.c
STR	"     * mean the true minimum merely saturated the analysis,\n"	1	1	src/gen/emit_vm.c
STR	"     * means \"a capacity ran out\" and nothing more, so the deep\n"	1	1	src/gen/emit_vm.c
STR	"     * meant to bound. D22: DD-2 is ROBUSTNESS, not a security\n"	1	1	src/gen/emit_vm.c
STR	"     * no longest-wins, no second pass. The caller's capture_spans array is\n"	1	1	src/gen/emit_vm.c
STR	"     * numbers; the values %s carries are those times %d.\n"	1	1	src/gen/emit_dfa.c
STR	"     * one instead of stepping through them; speed only, it never\n"	1	1	src/gen/emit_dfa.c
STR	"     * position at a time, and each state is a LABEL rather than a table\n"	1	1	src/gen/emit_dfa.c
STR	"     * proved there is no match at ctx->pos -- and a walk that accepts\n"	1	1	src/gen/emit_dfa.c
STR	"     * rather than 256.\n"	1	1	src/gen/emit_dfa.c
STR	"     * reason <prefix>_search does). A defensive floor test here\n"	1	1	src/gen/emit_vm.c
STR	"     * repeats one bit; only the cells at a multiple of the class\n"	1	1	src/gen/emit_dfa.c
STR	"     * row, so a step is a computed goto.\n"	1	1	src/gen/emit_dfa.c
STR	"     * security boundary, and it must not be traded against\n"	1	1	src/gen/emit_vm.c
STR	"     * shortest input reaching an accepting state is %d byte(s) long"	1	1	src/gen/emit_dfa.c
STR	"     * slots at this instant are the answer — no candidate comparison,\n"	1	1	src/gen/emit_vm.c
STR	"     * speed only, it never changes the answer. */\n"	1	1	src/gen/emit_dfa.c
STR	"     * subroutine call anywhere in the tree) -- so there is no\n"	1	1	src/gen/emit_vm.c
STR	"     * table read rather than a per-state constant. */\n"	1	1	src/gen/emit_dfa.c
STR	"     * tell a few kinds of byte apart, so all 256 values fold into a\n"	1	1	src/gen/emit_dfa.c
STR	"     * that answer and returns here. */\n"	1	1	src/gen/emit_vm.c
STR	"     * the ERR_ codes (give-up or, [DD-14] wave A commit 2, the\n"	1	1	src/gen/emit_vm.c
STR	"     * the attempt. %d states, %d classes.\n"	1	1	src/gen/emit_dfa.c
STR	"     * the few classes this pattern can tell apart.\n"	1	1	src/gen/emit_dfa.c
STR	"     * thing it is meant to bound. D22: DD-2 is ROBUSTNESS, not a\n"	1	1	src/gen/emit_vm.c
STR	"     * this machine's accept bit depends on the NEXT byte, so it is a\n"	1	1	src/gen/emit_dfa.c
STR	"     * this place — so forward progress is FREE (a linear match over\n"	1	1	src/gen/emit_vm.c
STR	"     * tier re-runs the SAME match from scratch at the stamped\n"	1	1	src/gen/emit_vm.c
STR	"     * to name individually. The start state is %d"	1	1	src/gen/emit_dfa.c
STR	"     * two differ on every pattern with a leading assertion, and\n"	1	1	src/gen/emit_dfa.c
STR	"     * walk cannot continue and stops. %d rows of %d.\n"	1	1	src/gen/emit_dfa.c
STR	"     * whether a byte moves the machine off its start state; the\n"	1	1	src/gen/emit_dfa.c
STR	"     * which case this fires for every subject; it can also\n"	1	1	src/gen/emit_vm.c
STR	"     * would be dead code pretending to be a safeguard. */\n"	1	1	src/gen/emit_vm.c
STR	"     * — forward progress is FREE, the steps_left is subject-\n"	1	1	src/gen/emit_vm.c
STR	"    %s result;\n"	1	1	src/gen/emit_vm.c
STR	"    %s_CALL(&&%s_L%d, scan_position);\n"	1	1	src/gen/emit_vm.c
STR	"    %s_CUT(%d);\n"	1	1	src/gen/emit_vm.c
STR	"    %s_PUSH(%d, &&%s_L%d, %s);\n"	1	1	src/gen/emit_vm.c
STR	"    %s_PUSH(&&%s_L%d, %s);\n"	1	1	src/gen/emit_vm.c
STR	"    %s_SET(%d, %s);\n"	1	1	src/gen/emit_vm.c
STR	"    %s_SET(%s_%s, %s);\n"	1	1	src/gen/emit_vm.c
STR	"    %s_TIER_NOTE();\n"	1	1	src/gen/emit_vm.c
STR	"    %s_cursor = scan_position;\n"	1	1	src/gen/emit_vm.c
STR	"    %s_fast_buffers fast;   /* [OPT-1] the page-budgeted fast tier */\n"	1	1	src/gen/emit_vm.c
STR	"    %s_frame       *resume_stack;\n"	1	1	src/gen/emit_vm.c
STR	"    %s_frame       frames[%s_FAST_FRAMES];\n"	1	1	src/gen/emit_vm.c
STR	"    %s_groups_seen = 0;\n"	1	1	src/gen/emit_vm.c
STR	"    %s_iteration = 0;\n"	1	1	src/gen/emit_vm.c
STR	"    %s_iteration++;\n"	1	1	src/gen/emit_vm.c
STR	"    %s_prev_position = -1;\n"	1	1	src/gen/emit_vm.c
STR	"    %s_run_buffers storage;   /* this artifact's stamped default */\n"	1	1	src/gen/emit_vm.c
STR	"    %s_run_buffers storage;%s\n"	1	1	src/gen/emit_vm.c
STR	"    %s_run_state_bind(&run, fast.frames, %s_FAST_FRAMES,\n"	1	1	src/gen/emit_vm.c
STR	"    %s_span_cursor += %d;\n"	1	1	src/gen/emit_vm.c
STR	"    %s_span_cursor -= %d;\n"	1	1	src/gen/emit_vm.c
STR	"    %s_trail_entry *trail;\n"	1	1	src/gen/emit_vm.c
STR	"    %s_trail_entry trail[%s_FAST_TRAIL];\n"	1	1	src/gen/emit_vm.c
STR	"    ((%s_window_end) < (size_t)(mr_) || (%s_window_end) - (size_t)(mr_) < (p_))\n"	1	1	src/gen/emit_vm.c
STR	"    ((p_) + (size_t)(w_) * (((%s_window_end) - (size_t)(mr_) - (p_)) / (size_t)(w_)))\n\n"	1	1	src/gen/emit_vm.c
STR	"    (void)%s_rv%d_cursor; (void)%s_rv%d_prev_position;"	1	1	src/gen/emit_vm.c
STR	"    (void)n;                 /* reads only below pos, as the contract says */\n"	1	1	src/gen/enc/enc_utf8.c
STR	"    (void)subject; (void)subject_length; (void)slot_values;\n"	1	1	src/gen/emit_vm.c
STR	"    *cp = v;\n"	1	1	src/gen/enc/enc_utf8.c
STR	"    .abi = 26,\n"	1	1	src/gen/emit_dfa.c
STR	"    .encoding = %d,\n"	1	1	src/gen/emit_dfa.c
STR	"    .engine = %d, /* %s */\n"	1	1	src/gen/emit_dfa.c
STR	"    .engine_why = "	1	1	src/gen/emit_dfa.c
STR	"    .engine_why = NULL,\n"	1	1	src/gen/emit_dfa.c
STR	"    .flags = %lluULL,\n"	1	1	src/gen/emit_dfa.c
STR	"    .frame_capacity = %lld,\n"	1	1	src/gen/emit_dfa.c
STR	"    .groups = %s,\n"	1	1	src/gen/emit_dfa.c
STR	"    .groups = NULL,\n"	1	1	src/gen/emit_dfa.c
STR	"    .match_form = NULL,\n"	1	1	src/gen/emit_dfa.c
STR	"    .match_form = \"%s\",\n"	1	1	src/gen/emit_dfa.c
STR	"    .name = "	1	1	src/gen/emit_dfa.c
STR	"    .ncaps = %s_NCAPS,\n"	1	1	src/gen/emit_dfa.c
STR	"    .nentries = %u,\n"	1	1	src/gen/emit_dfa.c
STR	"    .ngroups = %d,\n"	1	1	src/gen/emit_dfa.c
STR	"    .nnames = %u,\n"	1	1	src/gen/emit_dfa.c
STR	"    .pattern = "	1	1	src/gen/emit_dfa.c
STR	"    .pattern_len = %zu,\n"	1	1	src/gen/emit_dfa.c
STR	"    .prefilter = \"%s\",\n"	1	1	src/gen/emit_dfa.c
STR	"    .prefilter = \"none\",\n"	1	1	src/gen/emit_dfa.c
STR	"    .resume_frame_size = %d,\n"	1	1	src/gen/emit_dfa.c
STR	"    .resume_frames = %lld,\n"	1	1	src/gen/emit_dfa.c
STR	"    .scan = NULL,\n"	1	1	src/gen/emit_dfa.c
STR	"    .scan = \"%s\",\n"	1	1	src/gen/emit_dfa.c
STR	"    .search_form = NULL,\n"	1	1	src/gen/emit_dfa.c
STR	"    .search_form = \"%s\",\n"	1	1	src/gen/emit_dfa.c
STR	"    .step_budget = %lld,\n"	1	1	src/gen/emit_dfa.c
STR	"    .subject_ceiling = %lld,\n"	1	1	src/gen/emit_dfa.c
STR	"    .trail_frame_size = %d,\n"	1	1	src/gen/emit_dfa.c
STR	"    .trail_frames = %lld,\n"	1	1	src/gen/emit_dfa.c
STR	"    .work_budget = %lld,\n"	1	1	src/gen/emit_dfa.c
STR	"    /* %s transitions, PRE-MULTIPLIED: indexed [state + class],\n"	1	1	src/gen/emit_dfa.c
STR	"    /* %s transitions, indexed [state * %d + class]; -1 means the\n"	1	1	src/gen/emit_dfa.c
STR	"    /* ---- ANCHORED TABLES: does a match begin HERE, and where does\n"	1	1	src/gen/emit_dfa.c
STR	"    /* ---- FORWARD TABLES: find where a match ENDS ------------------\n"	1	1	src/gen/emit_dfa.c
STR	"    /* ---- REVERSE TABLES: find where that match BEGINS -------------\n"	1	1	src/gen/emit_dfa.c
STR	"    /* ---- STATE MACHINE: this engine tries the pattern at one start\n"	1	1	src/gen/emit_dfa.c
STR	"    /* 1 for each byte a match MAY BEGIN WITH %d byte%s before\n"	1	1	src/gen/emit_dfa.c
STR	"    /* 1 for each byte that could be the FIRST byte of a match. The\n"	1	1	src/gen/emit_dfa.c
STR	"    /* 1 where %s, indexed by %s state. */\n"	1	1	src/gen/emit_dfa.c
STR	"    /* 1 where %s, indexed by the PRE-MULTIPLIED\n"	1	1	src/gen/emit_dfa.c
STR	"    /* 1 where a match may end, indexed [state * classes + class]:\n"	1	1	src/gen/emit_dfa.c
STR	"    /* 3.1: leftmost-first is FIRST COMPLETE MATCH WINS, not compare\n"	1	1	src/gen/emit_vm.c
STR	"    /* ESCALATE ON A FRAMES GIVE-UP AND ON NOTHING ELSE. That code\n"	1	1	src/gen/emit_vm.c
STR	"    /* Jump targets, one row per state, indexed by byte class.\n"	1	1	src/gen/emit_dfa.c
STR	"    /* No translation and no clamp: the impl's return space IS this\n"	1	1	src/gen/emit_vm.c
STR	"    /* THE ONLY BACKTRACKER AND THE ONLY INDIRECT JUMP.\n"	1	1	src/gen/emit_vm.c
STR	"    /* The whole pattern's MINIMUM WIDTH is at the analysis\n"	1	1	src/gen/emit_vm.c
STR	"    /* [CC-CLANG] THE ONLY BACKTRACKER, AND THIS PROGRAM PUSHES\n"	1	1	src/gen/emit_vm.c
STR	"    /* [DD-13b.W1.2] rows in groups[], ALL of them. `nnames` counts\n"	1	1	src/gen/emit_dfa.c
STR	"    /* [DD-13b.W1.2] this artifact's own name: the `.rxt` block's\n"	1	1	src/gen/emit_dfa.c
STR	"    /* [ENG-ABS] HOW <prefix>_match answers: \"unwrapped\" (its own\n"	1	1	src/gen/emit_dfa.c
STR	"    /* [OPT-5 STEP 2] HOW <prefix>_search recovers the match START:\n"	1	1	src/gen/emit_dfa.c
